bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,log_pages,log_ratings,log_reviews,z_score,z_cat,decile,revRate,sqrt_pages,sizerating^2,size0,sizeZ0^2,size5,size10,size^2,size^3,sizesqrtpages,sizeRevRate
17673,The Anthropology of Turquoise: Reflections on Desert  Sea  Stone  and Sky,Ellen Meloy,4.03,375708138,9780000000000.0,eng,336,990,152,5.81711116,6.897704943,5.023880521000001,0.320575879,4,7,0.153535354,18.33030277982336,16.240900000000003,8.335575879,69.48182523456663,1.602879395,3.20575879,0.10276889419662265,0.032945228590940304,18.33030277982336,15.353535400000002
17682,The Dead Beat: Lost Souls  Lucky Stiffs  and the Perverse Pleasures of Obituaries,Marilyn Johnson,3.41,60758767,9780000000000.0,en-US,272,1106,229,5.605802066,7.008505182,5.433722004,-2.100790093,1,1,0.207052441,16.492422502470642,11.628100000000002,5.914209907,34.97787882405695,-10.503950465,-21.00790093,4.413319014846949,-9.27145686363899,16.492422502470642,20.7052441
17683,Dead Beat (The Dresden Files  #7),Jim Butcher,4.44,045146091X,9780000000000.0,eng,517,87727,2630,6.248042875,11.381985,7.874739125,1.9218017630000002,5,10,0.029979368,22.737634001804146,19.713600000000003,9.936801763,98.7400292771599,9.609008815000001,19.218017630000002,3.6933220162699087,7.097832762194226,22.737634001804146,2.9979367999999997
17688,The Metamorphosis  In the Penal Colony  and Other Stories: The Great Short Works of Franz Kafka,Franz Kafka,4.04,684800705,9780000000000.0,eng,352,13610,191,5.863631176,9.518560096,5.2522734280000005,0.359630168,4,7,0.014033799,18.76166303929372,16.3216,8.374630168000001,70.13443045077572,1.79815084,3.59630168,0.1293338577357082,0.04651235698558084,18.76166303929372,1.4033799
17689,Franz Kafka's The Castle (Dramatization),David Fishelson-Aaron Leichter-Max Brod-Franz Kafka,4.07,082221900X,9780000000000.0,eng,59,26629,225,4.077537444,10.18975613,5.4161004020000005,0.47679303799999995,4,7,0.008449435,7.681145747868608,16.5649,8.491793038,72.11054900022529,2.3839651899999996,4.767930379999999,0.2273316010852694,0.10839012471484968,7.681145747868608,0.8449435
17690,The Trial,Franz Kafka-Willa Muir-Edwin Muir-Max Brod,3.98,99428644,9780000000000.0,eng,255,158037,3472,5.541263545,11.97058446,8.152486076,0.125304429,4,6,0.021969539,15.968719422671311,15.8404,8.140304429,66.26455619679702,0.626522145,1.25304429,0.01570119992701604,0.0019674298914695867,15.968719422671311,2.1969539
17692,The Trial,Franz Kafka-Breon Mitchell-Arthur H. Samuelson,3.98,805209999,9780000000000.0,eng,276,3872,346,5.620400866000001,8.261526448,5.846438775,0.125304429,4,6,0.089359504,16.61324772583615,15.8404,8.140304429,66.26455619679702,0.626522145,1.25304429,0.01570119992701604,0.0019674298914695867,16.61324772583615,8.935950400000001
17698,The Cossacks,Leo Tolstoy-Peter Constantine-Cynthia Ozick,3.79,812975049,9780000000000.0,eng,161,4160,216,5.081404365,8.333270353,5.375278408,-0.6167270779999999,3,3,0.051923077000000005,12.68857754044952,14.3641,7.398272922,54.73444222839842,-3.0836353899999995,-6.167270779999999,0.380352288738418,-0.2345735556442568,12.68857754044952,5.192307700000001
17701,More Adventures of the Great Brain (Great Brain  #2),John D. Fitzgerald-Mercer Mayer,4.26,142400653,9780000000000.0,eng,160,4763,129,5.075173815,8.468633001,4.8598124039999995,1.218824545,5,10,0.027083771,12.649110640673518,18.147599999999997,9.233824545000001,85.26351572784448,6.094122725,12.18824545,1.485533271494457,1.8106044137115926,12.649110640673518,2.7083771
17707,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,671746065,9780000000000.0,eng,216,2765,246,5.375278408,7.924795914,5.505331536,1.062607386,5,9,0.08896925900000001,14.696938456699069,17.8084,9.077607386,82.40295585436176,5.31303693,10.62607386,1.1291344567817532,1.1998266135633886,14.696938456699069,8.896925900000001
17717,Labyrinths:  Selected Stories and Other Writings,Jorge Luis Borges-Donald A. Yates-James E. Irby-André Maurois,4.46,811200124,9780000000000.0,mul,256,22193,905,5.545177444,10.007532199999998,6.807934943999999,1.999910342,5,10,0.040778624,16.0,19.8916,10.014910342,100.29842915829856,9.99955171,19.99910342,3.9996413760385567,7.998924152230621,16.0,4.0778624
17726,Go Down  Moses,William Faulkner,3.93,679732179,9780000000000.0,eng,365,8097,366,5.899897354,8.999248902,5.902633333,-0.06996702,3,5,0.045201927,19.1049731745428,15.4449,7.945032980000001,63.12354905328769,-0.3498351,-0.6996702,0.004895383887680401,-0.0003425154223770124,19.1049731745428,4.5201927
17727,The Books of Magic,Neil Gaiman-John Bolton-Scott Hampton-Charles Vess-Paul Johnson-Roger Zelazny,4.08,1563890828,9780000000000.0,eng,200,13358,459,5.298317367,9.499870735,6.12905021,0.515847328,4,7,0.034361431,14.142135623730951,16.6464,8.530847328,72.77535613364473,2.57923664,5.15847328,0.26609846580473956,0.1372661825702743,14.142135623730951,3.4361431
17728,The House of Mirth,Edith Wharton-Nina Bawden,3.95,1844082938,9780000000000.0,eng,351,66650,3019,5.860786223,11.10721033,8.01268093,0.00814156,4,5,0.045296324000000006,18.734993995195193,15.602500000000001,8.023141560000001,64.37080049179924,0.0407078,0.0814156,6.628499923360002e-05,5.396632983603086e-07,18.734993995195193,4.529632400000001
17735,Light (Empty Space Trilogy  #1),M. John Harrison,3.6,553382950,9780000000000.0,eng,310,3566,399,5.736572297,8.179199797999999,5.9889614170000005,-1.358758585,2,1,0.111890073,17.60681686165901,12.96,6.656241415,44.305549774761204,-6.793792925,-13.58758585,1.846224892311202,-2.508573922268546,17.60681686165901,11.1890073
17743,Beautiful Evidence,Edward R. Tufte,4.14,961392177,9780000000000.0,eng,213,1979,126,5.361292166,7.590346946,4.836281907,0.7501730670000001,4,8,0.063668519,14.594519519326424,17.139599999999998,8.765173067000001,76.82825889446221,3.7508653350000003,7.501730670000001,0.5627596304521866,0.4221671179601035,14.594519519326424,6.3668519
17744,The Visual Display of Quantitative Information,Edward R. Tufte,4.41,961392142,9780000000000.0,eng,197,6296,440,5.283203728999999,8.74766979,6.086774727000001,1.8046388930000001,5,10,0.069885642,14.035668847618199,19.4481,9.819638893,96.42530798891828,9.023194465000001,18.046388930000003,3.256721534128266,5.877206344158496,14.035668847618199,6.9885642
17745,Envisioning Information,Edward R. Tufte,4.22,961392118,9780000000000.0,en-US,126,6953,203,4.836281907,8.8469285,5.313205979,1.062607386,5,9,0.02919603,11.224972160321824,17.8084,9.077607386,82.40295585436176,5.31303693,10.62607386,1.1291344567817532,1.1998266135633886,11.224972160321824,2.919603
17768,Post Captain (Aubrey & Maturin  #2),Patrick O'Brian,4.29,6499163,9780000000000.0,eng,474,7815,383,6.161207322,8.963800243,5.948034989,1.335987415,5,10,0.049008317,21.77154105707724,18.4041,9.350987415,87.4409656354884,6.679937075,13.35987415,1.7848623730383821,2.3845536678863137,21.77154105707724,4.9008317
17780,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,4.16,141001828,9780000000000.0,eng,302,68051,4731,5.710427017000001,11.1280127,8.461891876000001,0.8282816470000001,4,8,0.069521388,17.378147196982766,17.305600000000002,8.843281647000001,78.20363028816706,4.141408235,8.28281647,0.6860504867570327,0.5682430270962668,17.378147196982766,6.9521388
17781,Heart of the Sea (Gallaghers of Ardmore / Irish Trilogy  #3),Nora Roberts,4.15,515128554,9780000000000.0,eng,369,23839,514,5.9107966439999995,10.07907817,6.242223265,0.789227357,4,8,0.021561307000000002,19.209372712298546,17.222500000000004,8.804227357,77.51441935374721,3.946136785,7.89227357,0.6228798210372055,0.49159379488582666,19.209372712298546,2.1561307000000003
17799,South of the Border  West of the Sun,Haruki Murakami-Philip Gabriel,3.87,99448572,9780000000000.0,eng,190,56172,2451,5.247024072,10.93617369,7.804251384,-0.30429275899999997,3,4,0.043633839,13.784048752090222,14.9769,7.710707241000001,59.455006156409844,-1.5214637949999998,-3.0429275899999997,0.09259408317983206,-0.02817570903786659,13.784048752090222,4.3633839
17800,Dance Dance Dance (The Rat  #4),Haruki Murakami,4.04,99448769,9780000000000.0,eng,393,47494,1990,5.973809612,10.76835867,7.595889917999999,0.359630168,4,7,0.041900029,19.82422760159901,16.3216,8.374630168000001,70.13443045077572,1.79815084,3.59630168,0.1293338577357082,0.04651235698558084,19.82422760159901,4.1900029
17801,Underground: The Tokyo Gas Attack and the Japanese Psyche,Haruki Murakami-Alfred Birnbaum-Philip Gabriel,3.9,99461099,9780000000000.0,eng,309,10003,604,5.733341277,9.210640327,6.403574197999999,-0.18712989,3,5,0.060381885,17.578395831246947,15.209999999999999,7.827870110000001,61.27555045903143,-0.93564945,-1.8712989,0.035017595731412096,-0.006552838837283615,17.578395831246947,6.0381885
17803,After Dark,Haruki Murakami-Jay Rubin,3.69,307265838,9780000000000.0,eng,191,75695,4257,5.2522734280000005,11.23446739,8.356319966000001,-1.007269977,2,2,0.056238853,13.820274961085254,13.6161,7.007730023000001,49.108280075255585,-5.036349885,-10.07269977,1.0145928065655805,-1.0219688729336778,13.820274961085254,5.6238852999999995
17841,Foucault's Pendulum,Umberto Eco-William Weaver,3.9,015603297X,9780000000000.0,eng,623,44658,2013,6.4345465189999995,10.70678874,7.607381426,-0.18712989,3,5,0.04507591,24.95996794869737,15.209999999999999,7.827870110000001,61.27555045903143,-0.93564945,-1.8712989,0.035017595731412096,-0.006552838837283615,24.95996794869737,4.507591
17861,The Family Trade (The Merchant Princes  #1),Charles Stross,3.52,765348217,9780000000000.0,eng,308,4561,343,5.730099782999999,8.425297177000001,5.837730447,-1.671192904,2,1,0.075202806,17.549928774784245,12.3904,6.343807096000001,40.243888471259964,-8.35596452,-16.71192904,2.7928857223799533,-4.667450800924292,17.549928774784245,7.5202805999999995
17863,Accelerando,Charles Stross,3.88,441014151,9780000000000.0,en-US,415,16083,944,6.02827852,9.685518092,6.850126166,-0.265238469,3,4,0.058695517,20.37154878746336,15.0544,7.749761531000001,60.058803787367474,-1.326192345,-2.65238469,0.07035144543746395,-0.018659909679769972,20.37154878746336,5.869551700000001
17866,Glasshouse,Charles Stross,3.88,441014038,9780000000000.0,en-US,335,8823,455,5.814130532,9.085117227000001,6.120297419,-0.265238469,3,4,0.051569761,18.303005217723125,15.0544,7.749761531000001,60.058803787367474,-1.326192345,-2.65238469,0.07035144543746395,-0.018659909679769972,18.303005217723125,5.1569761
17867,The Hidden Family (The Merchant Princes  #2),Charles Stross,3.56,765352052,9780000000000.0,eng,309,3269,122,5.733341277,8.092239407000001,4.804021045,-1.514975745,2,1,0.037320281000000004,17.578395831246947,12.6736,6.5000242550000005,42.25031531558831,-7.5748787250000005,-15.149757450000001,2.2951515079383054,-3.477098865626708,17.578395831246947,3.7320281000000004
17876,Notes from Underground  White Nights  The Dream of a Ridiculous Man  and Selections from The House of the Dead,Fyodor Dostoyevsky-Andrew R. MacAndrew-Ben Marcus,4.17,451529553,9780000000000.0,eng,233,70847,1610,5.451038454,11.168277900000001,7.383989457999999,0.867335937,4,9,0.022725027000000002,15.264337522473747,17.3889,8.882335937,78.89589169772168,4.336679685,8.67335937,0.752271627611668,0.6524722170130811,15.264337522473747,2.2725027
17877,The House of the Dead,Fyodor Dostoyevsky-Ergin Altay,4.04,486434095,9780000000000.0,eng,247,10068,372,5.509388337000001,9.217117356000001,5.918893853999999,0.359630168,4,7,0.036948748999999996,15.716233645501712,16.3216,8.374630168000001,70.13443045077572,1.79815084,3.59630168,0.1293338577357082,0.04651235698558084,15.716233645501712,3.6948748999999994
17879,Crime and Punishment,Fyodor Dostoyevsky-Larissa Volokhonsky-Richard Pevear,4.2,679420290,9780000000000.0,eng,564,6890,374,6.335054251,8.837826364,5.924255797000001,0.984498806,4,9,0.054281567,23.748684174075834,17.64,8.999498806,80.99097875919543,4.922494029999999,9.844988059999999,0.9692378990154256,0.9542135543106349,23.748684174075834,5.428156700000001
17881,Notes from Underground & The Double,Fyodor Dostoyevsky-Jessie Coulson,4.2,140442529,9780000000000.0,eng,287,4537,147,5.659482216000001,8.42002128,4.990432587,0.984498806,4,9,0.032400264,16.941074346097416,17.64,8.999498806,80.99097875919543,4.922494029999999,9.844988059999999,0.9692378990154256,0.9542135543106349,16.941074346097416,3.2400263999999996
17893,Netochka Nezvanova,Fyodor Dostoyevsky-Jane Kentish,3.82,140444556,9780000000000.0,eng,176,2481,119,5.170483995,7.816416984,4.779123493,-0.499564209,3,3,0.04796453,13.2664991614216,14.5924,7.515435791000001,56.481775128643804,-2.497821045,-4.99564209,0.24956439891379567,-0.12467344153793078,13.2664991614216,4.796453
17914,The Real Thing,Tom Stoppard,3.94,571125298,9780000000000.0,en-US,112,3469,134,4.718498871,8.151621647,4.8978398,-0.03091273,3,5,0.038627847,10.583005244258363,15.5236,7.984087270000001,63.74564953497607,-0.15456365,-0.3091273,0.0009555968760529,-2.954010821826676e-05,10.583005244258363,3.8627847
17944,The Gunslinger (The Dark Tower #1),Stephen King,3.96,451160525,9780000000000.0,eng,315,1826,222,5.752572638999999,7.509883061,5.402677382,0.047195849000000005,4,5,0.121577218,17.74823934929885,15.6816,8.062195849,64.99900190763283,0.23597924500000003,0.47195849000000006,0.0022274481628308013,0.00010512630714828993,17.74823934929885,12.157721800000001
17961,Collected Fictions,Jorge Luis Borges-Andrew Hurley,4.58,140286802,9780000000000.0,eng,565,18072,766,6.336825731,9.802119057999999,6.64118217,2.4685618209999998,6,10,0.042386012,23.769728648009426,20.9764,10.483561821,109.90506845472885,12.342809104999999,24.685618209999998,6.093797464098835,15.042915764781,23.769728648009426,4.2386012
17977,The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution,Richard Dawkins,4.13,061861916X,9780000000000.0,eng,688,18593,581,6.5337888379999995,9.830540445,6.364750757,0.711118777,4,8,0.031248319,26.229754097208,17.0569,8.726118777,76.14514891031197,3.5555938850000004,7.111187770000001,0.5056899150019758,0.359605593897439,26.229754097208,3.1248319
17994,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Simon Singh,4.31,385495323,9780000000000.0,eng,412,15078,932,6.021023349,9.620992007,6.837332815,1.414095995,5,10,0.061811911,20.29778313018444,18.576099999999997,9.429095995,88.90785128292505,7.0704799750000005,14.140959950000001,1.9996674830750403,2.8277217791481446,20.29778313018444,6.1811910999999995
17998,The Eternity Code (Artemis Fowl  #3),Eoin Colfer,4.05,786856289,9780000000000.0,en-US,309,1594,122,5.733341277,7.374001859,4.804021045,0.39868445799999996,4,7,0.076537014,17.578395831246947,16.4025,8.413684458,70.79008615879076,1.9934222899999998,3.9868445799999996,0.15894929705075372,0.06337061434416075,17.578395831246947,7.6537014
18003,The Gunslinger (The Dark Tower  #1),Stephen King-Michael Whelan,3.96,451210840,9780000000000.0,eng,300,5740,777,5.703782475,8.655214489,6.65544035,0.047195849000000005,4,5,0.135365854,17.320508075688775,15.6816,8.062195849,64.99900190763283,0.23597924500000003,0.47195849000000006,0.0022274481628308013,0.00010512630714828993,17.320508075688775,13.5365854
18005,How I Became a Pirate,Melinda Long-David Shannon,4.08,152018484,9780000000000.0,eng,44,23328,561,3.7841896339999996,10.05740963,6.329720906,0.515847328,4,7,0.024048353999999997,6.6332495807108,16.6464,8.530847328,72.77535613364473,2.57923664,5.15847328,0.26609846580473956,0.1372661825702743,6.6332495807108,2.4048353999999996
